970063785,20210217,202102,2021,2021.1288,MED,RADIO STATION,,,,,,MED,,,,,,,,,,,,,1,010," Make statement, not specified below",010,01,1,0.0,10,1,10,2.69058295964126,4,"Casablanca, Grand Casablanca, Morocco",MO,MO45,147343,33.59,-7.61,-28159,0,,,,,,,,4,"Casablanca, Grand Casablanca, Morocco",MO,MO45,147343,33.59,-7.61,-28159,20210217070000,https://www.broadcastprome.com/news/aeta-helps-moroccos-map-cover-the-news/
970063919,20210217,202102,2021,2021.1288,PER,PERU,PER,,,,,,,,BHR,BAHRAIN,BHR,,,,,,,,1,051, Praise or endorse,051,05,1,3.4,1,1,1,-1.94690265486726,1,Morocco,MO,MO,,32.0,-5.0,MO,1,Egypt,EG,EG,,27.0,30.0,EG,1,Bahrain,BA,BA,,26.0,50.5,BA,20210217070000,https://www.iol.co.za/news/opinion/iqbal-surve-greater-co-operation-with-brics-countries-will-help-sa-navigate-covid-19-storm-9a1d8033-6075-4c5a-ba01-6d9097a8d66a
970068669,20210217,202102,2021,2021.1288,BUS,COMPANY,,,,,,BUS,,,,,,,,,,,,,0,010," Make statement, not specified below",010,01,1,0.0,10,1,10,1.43129770992366,4,"Khemisset, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21810,33.824,-6.066269999999999,-23257,0,,,,,,,,4,"Khemisset, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21810,33.824,-6.066269999999999,-23257,20210217074500,https://www.investegate.co.uk/emmerson-plc--eml-/rns/phased-development-and-expansion-assessment/202102170700113998P/
970068682,20210217,202102,2021,2021.1288,BUS,PRODUCER,,,,,,BUS,,,,,,,,,,,,,0,036, Express intent to meet or negotiate,036,03,1,4.0,10,1,10,1.43129770992366,4,"Khemisset, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21810,33.824,-6.066269999999999,-23257,0,,,,,,,,4,"Khemisset, Rabat-Saléemmour-ZaëMO, Morocco",MO,MO49,21810,33.824,-6.066269999999999,-23257,20210217074500,https://www.investegate.co.uk/emmerson-plc--eml-/rns/phased-development-and-expansion-assessment/202102170700113998P/
970071592,20210217,202102,2021,2021.1288,MAR,WESTERN SAHARA,MAR,,,,,,,,,,,,,,,,,,1,1822, Torture,182,18,4,-9.0,3,1,3,-3.93258426966292,1,Morocco,MO,MO,,32.0,-5.0,MO,0,,,,,,,,1,Morocco,MO,MO,,32.0,-5.0,MO,20210217080000,https://www.spsrasd.info/news/en/articles/2021/02/16/31222.html
970071593,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,IGOUNO,THE UN,,UNO,,,,IGO,,,1,051, Praise or endorse,051,05,1,3.4,1,1,1,-3.93258426966292,1,Morocco,MO,MO,,32.0,-5.0,MO,1,Morocco,MO,MO,,32.0,-5.0,MO,1,Morocco,MO,MO,,32.0,-5.0,MO,20210217080000,https://www.spsrasd.info/news/en/articles/2021/02/16/31222.html
970071714,20210217,202102,2021,2021.1288,NGOJUD,INTERNATIONAL ASSOCIATION OF DEMOCRATIC LAWYERS,,,,,,NGO,JUD,,CVL,CIVILIAN,,,,,,CVL,,,1,012, Make pessimistic comment,012,01,1,-0.4,10,1,10,-6.26702997275205,1,Morocco,MO,MO,,32.0,-5.0,MO,1,Morocco,MO,MO,,32.0,-5.0,MO,1,Morocco,MO,MO,,32.0,-5.0,MO,20210217080000,https://www.spsrasd.info/news/en/articles/2021/02/16/31195.html
970078113,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,LAB,WORKER,,,,,,LAB,,,1,190," Use conventional military force, not specified below",190,19,4,-10.0,10,1,10,-7.89473684210526,1,Morocco,MO,MO,,32.0,-5.0,MO,1,Morocco,MO,MO,,32.0,-5.0,MO,1,Morocco,MO,MO,,32.0,-5.0,MO,20210217090000,https://www.drapersonline.com/news/workers-killed-in-morocco-garment-factory
970091993,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,FRA,FRENCH,FRA,,,,,,,,1,057, Sign formal agreement,057,05,1,8.0,1,1,1,-0.536672629695889,1,Morocco,MO,MO,,32.0,-5.0,MO,1,France,FR,FR,,46.0,2.0,FR,4,"Ben Gurion, HaMerkaz, Israel",IS,IS02,18311,32.0114,34.8867,149507,20210217104500,https://www.albawaba.com/news/normalization-boosting-israeli-drone-sales-across-middle-east-1411836
970091995,20210217,202102,2021,2021.1288,MAR,MOROCCO,MAR,,,,,,,,FRAMED,FRENCH,FRA,,,,,MED,,,1,057, Sign formal agreement,057,05,1,8.0,7,1,7,-0.536672629695889,1,Morocco,MO,MO,,32.0,-5.0,MO,1,France,FR,FR,,46.0,2.0,FR,4,"Ben Gurion, HaMerkaz, Israel",IS,IS02,18311,32.0114,34.8867,149507,20210217104500,https://www.albawaba.com/news/normalization-boosting-israeli-drone-sales-across-middle-east-1411836
